Time [s],CG Height [in],Pitch Angle [deg],Roll Angle [deg],Tire Load FL [lbf],Tire Load FR [lbf],Tire Load RL [lbf],Tire Load RR [lbf],Damper u1 [ft],Damper u2 [ft],Damper u3 [ft],Damper u4 [ft]
3.7,0.044450463,0.268536512,-1.048115859,748.568266,334.1861018,736.4057133,333.7007455,-0.011758361,0.018086627,-0.017461321,0.01154916
3.75,0.09734356,0.154778311,-1.099200705,761.0278422,336.5872254,651.7529745,240.6967802,-0.012572326,0.017957805,-0.011284916,0.018285184
3.8,0.127601357,0.026371975,-1.161025117,805.2941464,353.5055716,624.7979463,187.3882963,-0.015659229,0.016782185,-0.009118306,0.022289111
3.85,0.105239537,-0.08807716,-1.245888353,871.1971059,379.1138361,648.0901017,171.0203953,-0.020346637,0.014953258,-0.010616798,0.023603016
3.9,0.030400907,-0.169991735,-1.354051175,940.7111635,400.5131554,707.1821386,182.8020299,-0.025419961,0.013349952,-0.014807753,0.022825217
3.95,-0.048360752,-0.215891561,-1.453774472,969.7402401,399.4926159,744.1463169,191.135643,-0.027750961,0.01335045,-0.017766927,0.022097775
4,-0.065967965,-0.274561215,-1.488043538,958.5761687,399.2054427,701.0860009,160.7704272,-0.026867963,0.013478721,-0.014767487,0.024211703
4.05,-0.078367869,-0.373653436,-1.500994141,983.6285011,429.3698425,656.6482168,122.9107876,-0.028690861,0.011350757,-0.011649498,0.026916316
4.1,-0.060648277,-0.497573527,-1.464265006,974.5274422,452.851083,575.85878,75.52156974,-0.028166584,0.009575495,-0.005936061,0.030269677
4.15,-0.02154791,-0.6226104,-1.417182548,976.6105478,472.3810564,519.702439,36.83471676,-0.027995705,0.008318291,-0.001479566,0.033292639
4.2,-0.086921439,-0.717125489,-1.430466164,1054.43187,523.7346857,579.7802234,69.65108527,-0.033670214,0.004509981,-0.005616294,0.031077672
4.25,-0.14906838,-0.733387359,-1.45042562,1042.082531,503.7739868,619.1100148,100.9230056,-0.033210977,0.005631376,-0.008705462,0.028686127
4.3,-0.122422082,-0.676417059,-1.455349021,969.2171689,429.7440327,624.6291215,105.3028914,-0.02779364,0.010962444,-0.008856418,0.028447135
4.35,-0.134050754,-0.559454162,-1.539262692,980.3257065,380.5646899,727.7108431,147.8598496,-0.028405785,0.014605568,-0.016120844,0.025453814
4.4,-0.170742359,-0.432268087,-1.638811146,991.072061,353.7615528,803.2505339,186.2233876,-0.029331848,0.016605899,-0.021866074,0.022612919
4.45,-0.175353005,-0.333286117,-1.648493062,955.6116188,351.4737708,794.0512885,211.9953028,-0.026871215,0.016925535,-0.021412629,0.020799437
4.5,-0.167963258,-0.268200323,-1.552111712,909.5339695,379.373382,752.2529327,245.9073721,-0.023586042,0.014904246,-0.018523786,0.018253451
4.55,-0.130386606,-0.239949749,-1.437662183,873.927894,388.2944358,702.6190835,240.7109671,-0.020842079,0.01420851,-0.014787906,0.01854842
4.6,-0.110938552,-0.225482842,-1.394082326,882.6812963,388.3649001,707.035459,234.8439159,-0.021465122,0.014177049,-0.015024982,0.019015417
4.65,-0.100391235,-0.206274161,-1.366855061,880.646302,388.6487003,714.2513236,242.8178789,-0.021241615,0.014186592,-0.015488848,0.018452541
4.7,-0.113433045,-0.200171851,-1.381401529,907.3579555,394.444338,735.1530152,241.917279,-0.023164426,0.013752582,-0.01702539,0.018470269
4.75,-0.117319576,-0.204114053,-1.407062504,913.6228285,386.6993411,733.7958675,226.1349766,-0.023691527,0.014230447,-0.017009607,0.01952315
4.8,-0.101901168,-0.21247853,-1.4522773,920.4794641,368.3929107,733.7835752,200.9755983,-0.024072113,0.015606952,-0.016866977,0.021422497
4.85,-0.120757833,-0.214841806,-1.518275454,952.2156372,369.8330011,767.8223352,205.0484183,-0.026406412,0.015515715,-0.019354773,0.021155452
4.9,-0.158550961,-0.221125222,-1.579077587,996.2774554,389.2272751,806.5655894,219.6391323,-0.029200415,0.014345726,-0.021834795,0.020262549
4.95,-0.28645101,-0.247151236,-1.680178865,1083.361557,433.5254366,876.6910985,248.0290736,-0.036107117,0.010864754,-0.027463749,0.017985957
5,-0.264745797,-0.262782167,-1.660622331,1002.358331,394.4438797,798.786941,213.2679501,-0.030003625,0.013673337,-0.021596842,0.020470017
5.05,-0.281562868,-0.274673058,-1.752686725,1045.8793,370.6321462,841.5324016,189.4886178,-0.033416475,0.015273427,-0.024857822,0.02215976
5.1,-0.183413435,-0.254521657,-1.716930388,920.7560341,309.4554016,742.9736984,155.8322465,-0.02470827,0.019664755,-0.018089829,0.024547435
5.15,-0.063629414,-0.234917758,-1.641051988,884.5764487,303.0069822,704.7189266,147.9391301,-0.021092812,0.020604307,-0.014436298,0.02547179
5.2,-0.169811328,-0.238333798,-1.733990602,1045.589928,375.7017951,849.0844667,202.8702961,-0.033058512,0.015134936,-0.025159552,0.02132225
5.25,-0.176080994,-0.245914097,-1.747157702,995.3156879,352.1816252,796.8795263,177.3527352,-0.029773437,0.016731817,-0.021734842,0.023072265
5.3,-0.141224697,-0.257896393,-1.725032725,965.2625391,337.9097892,756.2394079,153.4448599,-0.0274447,0.017730572,-0.018702197,0.024703965
5.35,-0.089956307,-0.276436296,-1.782951903,976.186152,292.5752857,754.6346436,95.03412549,-0.028087047,0.020811341,-0.018306417,0.028857368
5.4,-0.050829301,-0.239239226,-1.939697493,989.0193661,222.5307942,820.390551,77.75550285,-0.02926021,0.026016233,-0.023000014,0.030558774
5.45,-0.041607959,-0.122687274,-1.923844566,919.4427393,224.9581788,848.7282241,180.1415075,-0.024363876,0.026045699,-0.025255462,0.023297169
5.5,-0.044738469,-0.031344176,-1.808283331,885.9072662,267.058826,834.9896994,244.1469478,-0.021630811,0.023197863,-0.024310953,0.018501839
5.55,-0.081330236,-0.023901848,-1.697203298,909.3055629,330.5926078,810.0171994,259.0166698,-0.023427852,0.018452266,-0.02266765,0.017210334
5.6,-0.032230386,-0.034346763,-1.567459282,825.6811762,306.8517048,712.6207904,220.3709012,-0.017981595,0.019800577,-0.016014287,0.019847426
5.65,0.141869786,0.02352782,-1.401305899,677.2803661,217.449896,632.7461149,197.4743357,-0.006777684,0.02614559,-0.009299168,0.021844321
5.7,0.159637758,0.204666822,-1.519029875,756.9472577,145.4370232,859.7489169,269.151088,-0.011787556,0.031644696,-0.025125738,0.016784326
5.75,0.034543377,0.312921109,-1.74174968,901.5216391,186.7175103,1005.643598,310.2179136,-0.022613037,0.029018329,-0.036589582,0.013647467
5.8,-0.002680544,0.280779731,-1.667879872,840.2472965,271.4358386,841.5305457,295.7762962,-0.018995632,0.022876164,-0.025842853,0.014384108
5.85,0.164703954,0.161298214,-1.318407711,642.169461,293.3243919,532.1955356,209.8026324,-0.004837987,0.020873854,-0.003330452,0.020478634
5.9,0.380294349,0.132076223,-1.098807716,550.2832199,215.9180275,474.4907388,163.6850919,0.002755203,0.026353279,0.002314098,0.024193696
5.95,0.338883297,0.205939892,-1.287020841,752.5484763,198.9461976,762.9396723,226.3616452,-0.010958383,0.02811026,-0.017891923,0.019927875
6,0.089444887,0.18188347,-1.586016448,991.4103024,305.0804427,935.5157434,264.1232803,-0.029029738,0.020488396,-0.031723984,0.016721625
6.05,0.044015917,0.027380073,-1.599906963,927.1852227,339.7214039,732.3189246,163.7874557,-0.025098683,0.017638654,-0.017708682,0.023682241
6.1,0.133008418,-0.109346032,-1.529213266,854.3552927,313.5293111,609.6347354,91.1016063,-0.019299396,0.019590161,-0.007895098,0.029391912
6.15,0.089585497,-0.152789037,-1.579634757,922.6545085,323.3397245,716.7449154,139.4934812,-0.024227546,0.018855568,-0.015447714,0.026041152
6.2,0.077946434,-0.147857563,-1.598234836,875.9627627,287.4737174,707.4697577,140.9326343,-0.021444933,0.021176408,-0.015471161,0.02557005
6.25,0.214672863,-0.135031635,-1.547876341,764.7551529,210.2398098,605.2286037,73.18596441,-0.012996386,0.026839929,-0.00771736,0.030499282
6.3,0.272123095,-0.101295086,-1.617337983,801.8074147,183.1128321,666.3723991,69.80736272,-0.015603468,0.028934465,-0.011892532,0.031047301
6.35,0.290257169,-0.015690457,-1.605522576,760.7542299,182.7169638,694.3895581,138.8427576,-0.01294388,0.029042067,-0.014121373,0.026247547
6.4,0.309763229,0.090261647,-1.510667987,708.3362325,183.2799467,697.0892954,195.1692942,-0.008823508,0.028891342,-0.014206922,0.021839432
6.45,0.319083201,0.137743711,-1.591078563,767.2966551,149.0813854,738.3979022,142.0650259,-0.01293141,0.031323041,-0.017201009,0.025468998
6.5,0.31661428,0.149885472,-1.714971817,818.3878327,140.9650659,773.1031318,116.5860996,-0.016565851,0.032088884,-0.019515729,0.027632445
6.55,0.193975902,0.17931426,-1.860869406,943.2601759,196.4593245,922.8196601,197.5675224,-0.024997784,0.028387214,-0.029682127,0.02215259
6.6,-0.128981413,0.191888472,-2.112916919,1176.632857,303.8972033,1163.42411,313.579489,-0.041998799,0.020624524,-0.04733737,0.013641679
6.65,-0.382019911,0.150862346,-2.234439986,1205.235902,351.9181038,1160.829996,334.0610764,-0.045269829,0.016776228,-0.048461837,0.011687292
6.7,-0.318195467,0.089827268,-2.030479156,970.4244365,309.1883751,895.8358005,266.0074939,-0.028608803,0.019714027,-0.029520874,0.016551782
6.75,-0.15750342,0.079696344,-1.772679428,823.9608074,269.0955837,772.3577418,249.9391791,-0.017459431,0.022707354,-0.019785884,0.018035939
6.8,-0.073600061,0.135253119,-1.610069548,777.3220942,256.6509298,782.5268122,291.5407924,-0.014249161,0.023663015,-0.020774764,0.014985266
6.85,0.076849723,0.173786994,-1.354755055,642.7037479,246.5693461,648.6861334,279.3572811,-0.004632488,0.024288224,-0.011317502,0.01566175
6.9,0.259838947,0.214350446,-1.168424418,562.5283294,200.9241067,577.2991681,239.1735257,0.00154678,0.027545359,-0.005712771,0.018578224
6.95,0.377645317,0.263324307,-1.125455461,564.702089,170.8580118,595.0060956,220.6449778,0.00139822,0.029809429,-0.007001335,0.019992583
7,0.443577463,0.305047473,-1.079130994,573.4906646,193.1489147,610.5688881,247.1809597,0.00117781,0.028518718,-0.007698106,0.018414702
7.05,0.303401407,0.347087178,-1.132422157,732.9803678,291.9662902,789.8440409,364.2531636,-0.009918347,0.021559803,-0.020166835,0.010193917
7.1,0.020075259,0.36915657,-1.249324246,894.1049063,395.6387882,959.2880096,475.783568,-0.02199202,0.013987781,-0.033038523,0.00186421
7.15,-0.173793895,0.32155667,-1.241386377,913.0242959,460.9410447,931.5924066,495.8564399,-0.023595049,0.00910084,-0.031314293,0.000209692
7.2,-0.296316105,0.268710459,-1.232294808,920.4172565,470.6230786,925.216919,492.9832053,-0.02419818,0.008220526,-0.030791636,0.000362365
7.25,-0.339540397,0.239127033,-1.218618492,879.5265886,440.9566393,894.4038767,473.5976421,-0.021559154,0.010209417,-0.028817701,0.00167076
7.3,-0.263987094,0.239925253,-1.136829944,767.0215363,383.793375,803.2449412,438.0767605,-0.013536177,0.014309877,-0.022311595,0.004233179
7.35,-0.132699633,0.265251385,-1.032486302,672.2422816,333.6019236,728.6451321,407.7631129,-0.006567576,0.017963016,-0.016847125,0.006400067
7.4,0.007525773,0.292936084,-0.960515921,619.8425276,294.2310192,681.2418632,372.0108492,-0.002632122,0.02084494,-0.013285086,0.009005018
7.45,0.118982287,0.329037646,-0.937921526,601.1230623,264.6934205,675.3773765,353.6584566,-0.001194075,0.022996246,-0.012723523,0.010400734
7.5,0.185319061,0.376611902,-0.953160554,607.3028515,251.3080541,702.1280361,359.6994548,-0.001492142,0.024108259,-0.014522612,0.01009687
7.55,0.176917075,0.410814098,-0.983644421,651.9025548,278.2433372,748.4447573,387.9345306,-0.004616962,0.022239313,-0.017884259,0.00802355
7.6,0.141252107,0.407673336,-1.020764982,690.3879094,303.3795335,762.529503,388.9394756,-0.007566177,0.020373925,-0.019096907,0.007877474
7.65,0.127465846,0.393821505,-1.005206908,681.051043,319.4509835,741.7771214,394.3176813,-0.006926079,0.019245889,-0.017554917,0.007600374
7.7,0.111643053,0.391992266,-0.974870165,667.8639879,320.220703,736.5856944,403.4493753,-0.006132047,0.018913105,-0.017295427,0.006703579
7.75,0.144848258,0.403745617,-0.972375523,652.4158599,298.4598097,735.0220333,395.3406828,-0.004609286,0.020970888,-0.016738455,0.007811358
7.8,0.018302705,0.413743369,-0.919877569,719.6770234,406.0628958,803.673913,504.3919237,-0.009724154,0.013110944,-0.022212956,-0.000410206
7.85,0.019099227,0.35418107,-0.828062261,673.826123,402.0579486,697.8224837,440.170623,-0.006544988,0.013028585,-0.014559532,0.003993763
7.9,0.055445621,0.355631852,-0.828406227,649.7615558,345.0351459,713.2708083,421.4014456,-0.004709293,0.017174455,-0.015350283,0.005600873
7.95,0.063045908,0.391434979,-0.836482359,644.4743769,336.194362,742.6861831,446.2819643,-0.004280165,0.017986023,-0.017572377,0.003836347
8,0.055086185,0.401763338,-0.817077998,652.2202208,360.6738065,738.3999904,458.8031794,-0.004773938,0.016313643,-0.017333888,0.002892827
8.05,0.046846342,0.381523086,-0.776900775,648.2833073,381.2314315,706.9950882,452.1057294,-0.004751404,0.014659234,-0.015313287,0.003220748
8.1,0.112980192,0.364436072,-0.697218959,583.8703853,358.7195021,636.2722618,423.1283774,-5.18E-05,0.016277834,-0.010036904,0.005425714
8.15,0.148864366,0.378091817,-0.6458873,572.9261637,354.907625,646.7288917,439.8782635,0.000881973,0.016596608,-0.010624882,0.004280318
8.2,0.157085447,0.393989209,-0.63081176,584.3924995,357.7539157,664.9024635,448.1807848,0.000136845,0.016415598,-0.011927354,0.003632365
8.25,0.140773357,0.396159413,-0.648656165,614.6581315,369.6120507,687.9301705,451.9698447,-0.002002765,0.015611981,-0.01356121,0.003396461
8.3,0.09825037,0.392086531,-0.669265833,643.9481781,390.6150264,713.5671747,469.1300816,-0.004163584,0.014083267,-0.015429416,0.002176344
8.35,0.053504662,0.389931826,-0.686585059,659.9608974,400.5256442,732.8837857,482.5348885,-0.005328537,0.013330391,-0.016820739,0.001183884
8.4,0.013236144,0.386895969,-0.7132687,674.3470369,402.5388302,748.1262398,485.657554,-0.006412079,0.013164971,-0.018000014,0.000904593
8.45,0.005103209,0.373347606,-0.725997046,663.0899179,392.0107395,726.0478261,464.6652759,-0.00573812,0.013813234,-0.016585119,0.002268641
8.5,0.060222677,0.354551783,-0.726073547,623.3156445,357.8981714,673.9659813,418.6962354,-0.002901274,0.016289589,-0.012817265,0.005643327
8.55,0.115765974,0.352570106,-0.710675996,602.1857152,345.5184428,658.5799298,412.2009146,-0.00119651,0.017260591,-0.01147699,0.006238257
8.6,0.120552312,0.36257747,-0.742295949,633.1836568,346.8177749,698.9142975,422.5262831,-0.00331844,0.017197027,-0.014282923,0.005511521
8.65,0.098661113,0.368990553,-0.79339962,659.7317821,350.4770945,726.2229688,426.873932,-0.005376087,0.01691859,-0.016439458,0.005142129
8.7,0.100731465,0.364383649,-0.803433587,649.350943,350.5631066,707.3525694,419.1088341,-0.004641316,0.016914959,-0.01510272,0.005696184
8.75,0.101815718,0.35687903,-0.816784389,655.549983,349.3581489,707.7034576,412.5765843,-0.005037881,0.016978848,-0.015069952,0.006149837
8.8,0.097405675,0.350139343,-0.853029237,672.4843911,344.0044307,722.8095055,405.428995,-0.006202392,0.01737156,-0.016054792,0.006718929
8.85,0.070877028,0.353344211,-0.906673867,697.1727341,344.3270827,755.2360099,413.7173165,-0.0080166,0.017383158,-0.018461083,0.006123526
8.9,0.053289169,0.343458041,-0.93353224,701.2867187,348.7183819,748.0928898,407.5404329,-0.008405621,0.017021971,-0.018080131,0.006484137
8.95,0.065135184,0.328244162,-0.941827957,688.3423622,340.2235482,725.5259347,390.2268029,-0.007485607,0.017653375,-0.016432251,0.007784779
9,0.077397838,0.319846662,-0.916673971,670.5515756,346.9450873,706.8572742,396.7393026,-0.006283709,0.017221543,-0.015161529,0.00737328
9.05,0.098596089,0.313703106,-0.831589953,636.5081711,365.3279896,670.6594508,413.3348123,-0.003788699,0.015930766,-0.012491262,0.006229514
9.1,0.100498254,0.29742948,-0.737694181,633.604734,401.2945795,647.0914522,428.2828719,-0.003426263,0.013506932,-0.010948797,0.005008076
9.15,0.097161061,0.189420751,-0.616299418,653.1543712,476.525221,562.1058114,398.022265,-0.004923918,0.008041717,-0.004912677,0.007144548
9.2,0.103043818,0.090429359,-0.481298853,638.4538798,514.4824126,511.4253611,398.6348733,-0.003861602,0.005226149,-0.00095717,0.007318549
9.25,0.072847755,0.049102573,-0.378430781,635.3316599,536.4419837,528.7761506,439.1349092,-0.003689318,0.003515294,-0.002157621,0.004372665
9.3,0.062730006,0.041896284,-0.306143835,612.0507759,528.1061982,528.1595612,451.4646288,-0.002006533,0.004095828,-0.002145506,0.003427642
